Trial Number,X,Y,Time (s),Time (ms),Time (s) Per Node
4,3,3,4.00543212890625e-05,0.0400543212890625,0.0133514404296875
4,4,4,3.814697265625e-05,0.03814697265625,0.012715657552083334
1,5,5,9.393692016601562e-05,0.09393692016601562,0.018787384033203125
2,5,5,6.699562072753906e-05,0.06699562072753906,0.016748905181884766
0,6,6,0.0002231597900390625,0.2231597900390625,0.027894973754882812
1,6,6,0.00024008750915527344,0.24008750915527344,0.04001458485921224
2,6,6,6.198883056640625e-05,0.06198883056640625,0.015497207641601562
4,7,7,0.00017905235290527344,0.17905235290527344,0.029842058817545574
4,8,8,0.0013031959533691406,1.3031959533691406,0.10859966278076172
0,9,9,0.00032782554626464844,0.32782554626464844,0.040978193283081055
1,9,9,0.0005669593811035156,0.5669593811035156,0.04724661509195963
2,9,9,0.0002961158752441406,0.2961158752441406,0.03701448440551758
3,9,9,8.893013000488281e-05,0.08893013000488281,0.017786026000976562
4,9,9,0.0006780624389648438,0.6780624389648438,0.06164203990589489
0,10,10,0.00032901763916015625,0.32901763916015625,0.036557515462239586
3,10,10,0.0019960403442382812,1.9960403442382812,0.19960403442382812
4,10,10,0.0012440681457519531,1.2440681457519531,0.0888620104108538
0,11,11,0.001477956771850586,1.477956771850586,0.09853045145670573
1,11,11,0.004714012145996094,4.714012145996094,0.5237791273328993
2,11,11,0.0008409023284912109,0.8409023284912109,0.060064452035086494
3,11,11,0.00037598609924316406,0.37598609924316406,0.034180554476651276
4,11,11,0.0004620552062988281,0.4620552062988281,0.04620552062988281
2,12,12,0.004290103912353516,4.290103912353516,0.2257949427554482
3,12,12,0.0008649826049804688,0.8649826049804688,0.07208188374837239
4,12,12,0.0006759166717529297,0.6759166717529297,0.05632638931274414
1,13,13,0.0019299983978271484,1.9299983978271484,0.09649991989135742
2,13,13,0.0003819465637207031,0.3819465637207031,0.07638931274414062
4,13,13,0.0022029876708984375,2.2029876708984375,0.1468658447265625
2,14,14,0.0005910396575927734,0.5910396575927734,0.06567107306586371
3,14,14,0.002782106399536133,2.782106399536133,0.13248125712076822
4,14,14,0.002756834030151367,2.756834030151367,0.17230212688446045
0,15,15,0.0012619495391845703,1.2619495391845703,0.11472268538041548
1,15,15,0.0022630691528320312,2.2630691528320312,0.12572606404622397
2,15,15,0.0038230419158935547,3.8230419158935547,0.21239121754964194
3,15,15,0.0017421245574951172,1.7421245574951172,0.10888278484344482
4,15,15,0.010001182556152344,10.001182556152344,0.5883048562442555
4,16,16,0.0065059661865234375,6.5059661865234375,0.3098079136439732
1,17,17,0.0017268657684326172,1.7268657684326172,0.11512438456217448
2,17,17,0.001895904541015625,1.895904541015625,0.11152379653033088
4,17,17,0.004029035568237305,4.029035568237305,0.22383530934651694
0,18,18,0.0022029876708984375,2.2029876708984375,0.13768672943115234
